id,order_id,customer_id,product_id,created_at,pre_tax_price,price,quantity,fulfillment_status,location_id
0,0,2610,8,2022-08-26 07:48:31,4.26,4.75,4,fulfilled,36
1,1,2043,4,2021-08-03 04:12:06,9.31,10.59,4,fulfilled,40
2,1,2043,6,2021-08-03 04:12:06,8.41,8.98,1,restocked,40
3,2,7964,8,2022-05-09 11:46:43,4.33,4.75,4,restocked,23
4,3,7759,14,2020-05-08 23:27:51,7.55,8.49,2,fulfilled,13
5,4,9131,13,2022-12-19 01:06:43,1.3,1.49,2,fulfilled,30
6,5,8881,6,2022-01-19 00:38:33,8.48,8.98,1,fulfilled,21
7,6,8842,0,2021-04-28 19:02:27,26.38,30.69,2,fulfilled,3
8,6,8842,1,2021-04-28 19:02:27,8.59,9.99,2,fulfilled,3
9,6,8842,13,2021-04-28 19:02:27,1.39,1.49,1,fulfilled,3
10,6,8842,2,2021-04-28 19:02:27,8.03,8.99,3,fulfilled,3
11,7,1502,13,2022-12-12 20:43:28,1.28,1.49,2,fulfilled,32
12,7,1502,0,2022-12-12 20:43:28,27.26,30.69,2,restocked,32
13,7,1502,12,2022-12-12 20:43:28,9.14,10.29,1,restocked,32
14,7,1502,14,2022-12-12 20:43:28,8.01,8.49,4,restocked,32
15,8,3445,0,2020-10-24 11:25:12,28.61,30.69,1,restocked,49
16,9,8936,7,2022-08-23 01:38:35,5.47,6.37,3,fulfilled,31
17,10,5583,10,2022-03-18 06:06:24,5.01,5.64,1,fulfilled,19
18,11,6383,10,2020-09-10 18:23:08,5.26,5.64,1,fulfilled,38
19,11,6383,3,2020-09-10 18:23:08,14.26,15.99,2,restocked,38
20,12,2130,2,2022-03-09 12:59:09,7.96,8.99,3,restocked,44
21,12,2130,14,2022-03-09 12:59:09,7.59,8.49,1,fulfilled,44
22,13,3190,2,2022-03-21 09:25:01,8.1,8.99,2,fulfilled,2
23,14,1102,5,2022-04-24 18:17:12,3.64,4.07,3,restocked,43
24,15,1245,5,2021-02-21 06:41:20,3.62,4.07,2,fulfilled,13
25,16,7592,0,2017-12-29 02:44:07,26.16,30.69,2,fulfilled,15
26,16,7592,2,2017-12-29 02:44:07,8.19,8.99,1,fulfilled,15
27,17,9957,2,2021-03-04 02:19:46,8.52,8.99,2,fulfilled,45
28,18,2046,3,2020-05-24 04:02:17,14.85,15.99,2,restocked,34
29,19,1321,8,2021-05-01 21:29:13,4.28,4.75,3,fulfilled,2
30,20,3035,8,2019-01-30 00:56:14,4.32,4.75,2,restocked,1
31,21,1928,8,2021-02-21 01:43:32,4.47,4.75,3,fulfilled,7
32,21,1928,3,2021-02-21 01:43:32,13.96,15.99,2,fulfilled,7
33,22,3558,3,2021-07-26 15:13:16,14.35,15.99,2,fulfilled,36
34,23,2602,8,2022-06-05 16:48:41,4.15,4.75,3,fulfilled,30
35,24,5026,6,2019-06-17 06:37:04,8.37,8.98,4,restocked,49
36,25,3011,5,2021-05-30 07:35:05,3.78,4.07,3,fulfilled,14
37,25,3011,9,2021-05-30 07:35:05,4.31,4.64,1,fulfilled,14
38,26,9290,2,2019-02-01 20:30:50,8.08,8.99,1,fulfilled,9
39,27,1964,3,2019-04-25 09:22:42,14.9,15.99,4,fulfilled,29
40,28,9063,12,2019-10-17 07:12:48,9.63,10.29,1,fulfilled,41
41,28,9063,11,2019-10-17 07:12:48,5.68,6.33,1,fulfilled,41
42,28,9063,5,2019-10-17 07:12:48,3.71,4.07,4,fulfilled,41
43,29,9980,2,2021-01-10 18:58:38,8.44,8.99,3,fulfilled,27
44,29,9980,5,2021-01-10 18:58:38,3.81,4.07,4,restocked,27
45,29,9980,1,2021-01-10 18:58:38,8.93,9.99,1,restocked,27
46,29,9980,12,2021-01-10 18:58:38,8.84,10.29,3,restocked,27
47,30,5156,2,2021-04-20 00:36:48,7.71,8.99,3,restocked,32
48,31,1698,10,2022-07-29 08:28:20,4.99,5.64,2,fulfilled,11
49,32,7303,9,2022-04-25 17:21:27,4.35,4.64,1,restocked,48
50,32,7303,0,2022-04-25 17:21:27,27.42,30.69,3,fulfilled,48
51,33,1850,13,2022-02-13 14:57:50,1.35,1.49,1,fulfilled,20
52,34,9641,1,2022-06-08 18:53:07,9.06,9.99,2,fulfilled,20
53,34,9641,10,2022-06-08 18:53:07,5.29,5.64,1,fulfilled,20
54,34,9641,14,2022-06-08 18:53:07,7.74,8.49,3,fulfilled,20
55,35,16,1,2021-12-27 06:19:15,9.11,9.99,2,fulfilled,23
56,35,16,0,2021-12-27 06:19:15,27.89,30.69,4,fulfilled,23
57,35,16,13,2021-12-27 06:19:15,1.38,1.49,4,fulfilled,23
58,35,16,7,2021-12-27 06:19:15,5.97,6.37,3,fulfilled,23
59,36,7102,13,2020-01-09 17:43:55,1.36,1.49,4,fulfilled,23
60,37,8008,7,2022-10-02 02:55:02,5.58,6.37,3,fulfilled,0
61,38,5613,0,2022-09-09 15:30:16,26.79,30.69,4,restocked,42
62,39,3462,0,2020-04-11 01:35:45,27.13,30.69,3,fulfilled,11
63,40,1838,13,2018-03-26 15:59:07,1.41,1.49,2,fulfilled,17
64,41,3120,13,2019-08-25 06:08:41,1.28,1.49,2,fulfilled,31
65,42,8254,1,2022-03-21 09:19:40,8.52,9.99,4,restocked,15
66,43,7549,8,2022-11-29 18:31:05,4.49,4.75,1,fulfilled,22
67,44,5411,13,2019-09-24 20:30:20,1.41,1.49,3,restocked,22
68,44,5411,1,2019-09-24 20:30:20,8.69,9.99,3,fulfilled,22
69,44,5411,5,2019-09-24 20:30:20,3.57,4.07,3,fulfilled,22
70,45,3521,14,2020-05-10 02:17:39,8.05,8.49,3,fulfilled,26
71,46,8284,12,2021-06-04 00:22:57,9.12,10.29,2,fulfilled,44
72,46,8284,3,2021-06-04 00:22:57,13.74,15.99,1,fulfilled,44
73,47,5009,14,2019-07-06 12:16:03,8.01,8.49,4,fulfilled,46
74,48,4044,4,2020-02-24 03:58:06,9.16,10.59,1,restocked,12
75,49,4017,9,2021-12-06 08:34:31,4.14,4.64,4,fulfilled,43
76,50,1321,3,2022-12-05 19:43:16,15.12,15.99,2,restocked,22
77,50,1321,0,2022-12-05 19:43:16,27.42,30.69,1,fulfilled,22
78,51,6144,0,2022-08-20 06:25:16,26.38,30.69,3,fulfilled,3
79,51,6144,1,2022-08-20 06:25:16,9.19,9.99,3,fulfilled,3
80,52,7848,8,2019-08-12 09:53:53,4.37,4.75,2,fulfilled,16
81,52,7848,4,2019-08-12 09:53:53,10.03,10.59,3,fulfilled,16
82,53,5368,10,2019-02-28 11:59:30,5.13,5.64,1,fulfilled,1
83,53,5368,7,2019-02-28 11:59:30,5.58,6.37,1,restocked,1
84,54,3358,7,2019-12-26 05:40:46,5.47,6.37,3,restocked,31
85,54,3358,8,2019-12-26 05:40:46,4.47,4.75,2,fulfilled,31
86,55,3369,5,2022-05-22 07:23:33,3.68,4.07,2,fulfilled,33
87,56,4834,9,2022-12-23 07:47:47,4.23,4.64,2,fulfilled,5
88,57,2969,3,2020-05-24 08:45:01,13.82,15.99,2,fulfilled,6
89,58,2747,3,2022-10-15 05:05:40,14.34,15.99,1,fulfilled,35
90,58,2747,13,2022-10-15 05:05:40,1.29,1.49,4,fulfilled,35
91,59,2477,5,2021-01-07 18:40:01,3.55,4.07,1,fulfilled,42
92,60,7573,12,2022-12-26 18:45:37,9.24,10.29,1,restocked,36
